time,input_il6,nExpID,HAMP_qpcr_scaled,SOCS3_qpcr_scaled,input_bmp2,input_dcf,HMOX_qpcr_scaled,ID1_qpcr_scaled,ID3_qpcr_scaled,SMAD6_qpcr_scaled,Experiment
60,0,1,6.596774e-02,4.677419e-03,0,0,6.919355e-01,NaN,NaN,1.016129e+00,Anja_2017_20
60,0,1,6.844204e-02,4.313362e-03,0,0,7.003958e-01,NaN,NaN,1.109871e+00,Anja_2017_20
60,1,1,1.603960e-01,5.663366e-01,0,0,8.207921e-01,NaN,NaN,1.108911e+00,Anja_2017_20
60,1,1,1.645500e-01,5.182832e-01,0,0,7.991020e-01,NaN,NaN,9.774466e-01,Anja_2017_20
60,2.500000e+00,1,2.164305e-01,1.270353e+00,0,0,7.716216e-01,NaN,NaN,1.176252e+00,Anja_2017_20
60,2.500000e+00,1,2.054540e-01,1.168221e+00,0,0,7.943426e-01,NaN,NaN,1.194500e+00,Anja_2017_20
60,5,1,2.882900e-01,9.687796e-01,0,0,8.984649e-01,NaN,NaN,9.609668e-01,Anja_2017_20
60,5,1,2.890713e-01,9.453413e-01,0,0,9.062777e-01,NaN,NaN,1.054720e+00,Anja_2017_20
60,10,1,3.437341e-01,1.462916e+00,0,0,1.020972e+00,NaN,NaN,1.104859e+00,Anja_2017_20
60,10,1,3.400341e-01,1.349986e+00,0,0,1.010967e+00,NaN,NaN,1.086079e+00,Anja_2017_20
60,20,1,2.615889e-01,1.589829e+00,0,0,8.107001e-01,NaN,NaN,1.150089e+00,Anja_2017_20
60,20,1,2.603784e-01,1.581738e+00,0,0,8.164201e-01,NaN,NaN,1.210638e+00,Anja_2017_20
60,0,1,1.803692e-01,7.387097e-03,0,500,6.985000e-01,NaN,NaN,1.332664e+00,Anja_2017_20
60,0,1,1.678874e-01,8.292959e-03,0,500,6.895776e-01,NaN,NaN,1.352113e+00,Anja_2017_20
60,1,1,4.394128e-01,6.009796e-01,0,500,7.845783e-01,NaN,NaN,1.297431e+00,Anja_2017_20
60,1,1,4.322757e-01,6.077667e-01,0,500,8.064845e-01,NaN,NaN,1.276181e+00,Anja_2017_20
60,2.500000e+00,1,7.225513e-01,9.678117e-01,0,500,9.047157e-01,NaN,NaN,1.241567e+00,Anja_2017_20
60,2.500000e+00,1,7.444001e-01,9.305001e-01,0,500,9.457364e-01,NaN,NaN,1.284199e+00,Anja_2017_20
60,5,1,8.274241e-01,1.491288e+00,0,500,8.574903e-01,NaN,NaN,1.274810e+00,Anja_2017_20
60,5,1,8.070968e-01,1.514070e+00,0,500,8.473906e-01,NaN,NaN,1.294285e+00,Anja_2017_20
60,10,1,8.511540e-01,1.324787e+00,0,500,9.697788e-01,NaN,NaN,1.238200e+00,Anja_2017_20
60,10,1,8.775500e-01,1.351445e+00,0,500,9.691282e-01,NaN,NaN,1.155841e+00,Anja_2017_20
60,20,1,1.069283e+00,1.805423e+00,0,500,9.757880e-01,NaN,NaN,1.300334e+00,Anja_2017_20
60,20,1,1.015805e+00,1.722841e+00,0,500,9.889554e-01,NaN,NaN,1.219413e+00,Anja_2017_20
60,0,3,7.518033e-02,2.392935e-03,0,0,NaN,2.406688e-01,2.722995e-01,NaN,Anja_2017_12
60,0,3,7.813517e-02,2.951250e-03,0,0,NaN,2.480556e-01,2.654713e-01,NaN,Anja_2017_12
60,1,3,2.000331e-01,5.975014e-01,0,0,NaN,3.174551e-01,2.312071e-01,NaN,Anja_2017_12
60,1,3,2.008248e-01,6.392450e-01,0,0,NaN,3.563932e-01,2.426868e-01,NaN,Anja_2017_12
60,2.500000e+00,3,2.275758e-01,5.644946e-01,0,0,NaN,3.178060e-01,2.253534e-01,NaN,Anja_2017_12
60,2.500000e+00,3,2.184156e-01,5.504073e-01,0,0,NaN,3.009767e-01,2.205997e-01,NaN,Anja_2017_12
60,5,3,2.685311e-01,8.655134e-01,0,0,NaN,3.257881e-01,2.072794e-01,NaN,Anja_2017_12
60,5,3,2.721139e-01,8.569821e-01,0,0,NaN,3.317493e-01,2.049689e-01,NaN,Anja_2017_12
60,10,3,2.902338e-01,9.574205e-01,0,0,NaN,3.894847e-01,2.446184e-01,NaN,Anja_2017_12
60,10,3,3.039776e-01,9.515373e-01,0,0,NaN,3.754715e-01,2.437993e-01,NaN,Anja_2017_12
60,20,3,3.993536e-01,1.020167e+00,0,0,NaN,3.739402e-01,2.875346e-01,NaN,Anja_2017_12
60,20,3,3.779577e-01,9.353883e-01,0,0,NaN,3.790984e-01,2.859398e-01,NaN,Anja_2017_12
60,0,3,2.252894e-01,3.249149e-03,0,500,NaN,5.396380e-01,5.169959e-01,NaN,Anja_2017_12
60,0,3,2.165551e-01,3.601733e-03,0,500,NaN,5.338685e-01,5.075511e-01,NaN,Anja_2017_12
60,1,3,6.890631e-01,5.901207e-01,0,500,NaN,7.668036e-01,3.957696e-01,NaN,Anja_2017_12
60,1,3,6.657772e-01,5.633500e-01,0,500,NaN,7.511333e-01,3.994663e-01,NaN,Anja_2017_12
60,2.500000e+00,3,9.542857e-01,8.628571e-01,0,500,NaN,7.742857e-01,3.571429e-01,NaN,Anja_2017_12
60,2.500000e+00,3,1.101951e+00,8.628180e-01,0,500,NaN,8.628180e-01,4.556455e-01,NaN,Anja_2017_12
60,5,3,1.154351e+00,1.399356e+00,0,500,NaN,8.716530e-01,4.494902e-01,NaN,Anja_2017_12
60,5,3,1.213950e+00,1.388759e+00,0,500,NaN,9.323135e-01,4.627577e-01,NaN,Anja_2017_12
60,10,3,1.108268e+00,1.342865e+00,0,500,NaN,8.413127e-01,3.632206e-01,NaN,Anja_2017_12
60,10,3,1.067359e+00,1.388758e+00,0,500,NaN,8.372225e-01,3.678224e-01,NaN,Anja_2017_12
60,20,3,1.502506e+00,1.810968e+00,0,500,NaN,8.955335e-01,4.577171e-01,NaN,Anja_2017_12
60,20,3,1.363621e+00,1.804388e+00,0,500,NaN,9.779508e-01,4.510970e-01,NaN,Anja_2017_12
