time,input_il6,input_dcf,input_apap,SOCS3_WB,experiment,cSOCS3_wb,nExpID,,
0,10,0,0,1389560.62,Anja_2018_12,1.38956062,1,,
60,10,0,0,23567579,Anja_2018_12,23.567579,1,,
90,10,0,0,18894196.38,Anja_2018_12,18.89419638,1,SOCS3 IP,HepG2 cells
120,10,0,0,16067565.55,Anja_2018_12,16.06756555,1,,
60,10,500,0,13831762.86,Anja_2018_12,13.83176286,1,input_il6,10 ng/mL
90,10,500,0,26948877.05,Anja_2018_12,26.94887705,1,input_dcf,500 ÂµM
120,10,500,0,22310694.89,Anja_2018_12,22.31069489,1,input_apap,10 mM
60,10,0,10,14826986.57,Anja_2018_12,14.82698657,1,,
90,10,0,10,32156575.63,Anja_2018_12,32.15657563,1,,
120,10,0,10,25558518.71,Anja_2018_12,25.55851871,1,,
0,10,0,0,1612491.43,Anja_2018_11,1.61249143,2,,
60,10,0,0,17386563.26,Anja_2018_11,17.38656326,2,,
90,10,0,0,8601748.68,Anja_2018_11,8.60174868,2,,
120,10,0,0,7186259.9,Anja_2018_11,7.1862599,2,,
60,10,500,0,8283875.97,Anja_2018_11,8.28387597,2,,
90,10,500,0,18368610,Anja_2018_11,18.36861,2,,
120,10,500,0,26303102,Anja_2018_11,26.303102,2,,
60,10,0,10,9367625.33,Anja_2018_11,9.36762533,2,,
90,10,0,10,15018717.86,Anja_2018_11,15.01871786,2,,
120,10,0,10,25055034.35,Anja_2018_11,25.05503435,2,,
0,10,0,0,648599.69,Anja_2018_10,0.64859969,3,,
60,10,0,0,15513746.73,Anja_2018_10,15.51374673,3,,
90,10,0,0,14270716.47,Anja_2018_10,14.27071647,3,,
120,10,0,0,8000426.8,Anja_2018_10,8.0004268,3,,
60,10,500,0,5749143.04,Anja_2018_10,5.74914304,3,,
90,10,500,0,22045990.74,Anja_2018_10,22.04599074,3,,
120,10,500,0,17831392.48,Anja_2018_10,17.83139248,3,,
60,10,0,10,2734579.01,Anja_2018_10,2.73457901,3,,
90,10,0,10,26498944.1,Anja_2018_10,26.4989441,3,,
120,10,0,10,19643097.87,Anja_2018_10,19.64309787,3,,
0,10,0,0,930649.03,Anja_2018_09,0.93064903,4,,
60,10,0,0,21919630.38,Anja_2018_09,21.91963038,4,,
90,10,0,0,9701394.79,Anja_2018_09,9.70139479,4,,
120,10,0,0,7491874.37,Anja_2018_09,7.49187437,4,,
60,10,500,0,14643847.43,Anja_2018_09,14.64384743,4,,
90,10,500,0,23119593.86,Anja_2018_09,23.11959386,4,,
120,10,500,0,26477699.06,Anja_2018_09,26.47769906,4,,
